name,whatsapp_number,phonecall_number
VIDA SUCCESS ENTERPRISE,,0123373242
AISMART SERVICES,,0182600657
COOLAIRSERVIS AIRCOND SERVICE,,0123034882
HIDAYAHTECHNOLOGY,,0163337019
MM SALES & SERVICES SDN.BHD,,0122352193
CENTREPOINT SERVICES SDN BHD - AIR COND,0126951927,0126951927
SVASTI ELECTRICAL & PLUMBING SERVICES,,0167053575
AMIECHO ELECTRICAL ENTERPRISE,,0194813701
JET COOL SALES & SERVICES (M) SDN BHD,,0162610288
FAST COOL & ENERGY SOLUTIONS,,0129791805
FAMY POWER ENTERPRISE AIRCOND & ELECTRICAL,,0196010500
TSKOOL,,0162129782
MEGA M AIRCOND,,01131224400
BINAQ AIZA ENTERPRISE,,0136685097
FRESCOL ENGINEERING SDN BHD,0122141690,0122141690
RISING AIRCOND ELECTRICAL,,0172825580
CHUN TIEN AIR COND SPECIALIZE,,0193848779
HOUSCO CABINET,,0169442925
SMART COLD AIR CONDITIONING,,0169580449
BC ENGINEERING & SERVICES,,0162513669
LAB AIRCOND & ELECTRICAL SERVICE,0127822336,0127822336
AKAR SERVICES SDN BHD,,0125238598
TAMBROTHERS ENTERPRISE,,0177678709
WENG AIR-COND. SERVICE,,0124335589
SING WONG AIR COND SERVICES,,0168382333
AIR-COND AND FRIDGE FREEZER SERVICE,,0172387142
ONE FOUR ENT,0173273528,0173273528
ONE FOUR ENT,,0173273528
MRGREEN SOLUTIONS SDN BHD,,0122016700
MRGREEN SOLUTIONS SDN BHD,,0122016700
MRGREEN SOLUTIONS SDN BHD,,0122016700
MRGREEN SOLUTIONS SDN BHD,,0122016700
TAMBROTHERS ENTERPRISE,,0177678709
MOHAMAD AZIZ MECHANICAL & ELECTRICAL SERVICES,,0197539066
AMIN MECHANICAL & ELECTRICAL SERVICES,,0189699002
AIRCOND SERVICE,0125522653,0125522653
YUSRI SERVICE CHILLER FREEZER,0127998324,0127998324
ZIELY AIR CONDITIONING REFRIGERATOR & OIL PRODUCT,,0127046314
GGPE COM SERVICE,,0127551438
KABB AC ENTERPRISE,,0137238236
ZHF ENT.,0123538494,0123538494
ZURIFF GLOBAL ENT,,0136235926
CONTRUCTOR WORKERS,,01121138738
AILINA ENTERPRISE,,0178832291
MAFA MAJUJAYA ENTERPRISE,,01126351351
WY FULLY AIR COND & ELECTRICAL SERVICES,,0182922818
HUP SHEN ELECTRICAL SERVICES CENTRE,,0177972282
RARE SERVICE,,0127150745
MIX RACING GARAGE,,0136415018
IZRUL REFRIGERANT AND AIR CONDITIONAL,,0135234728
IZRUL REFRIGERANT AND AIR CONDITION,0135234728,0135234728
AZRI SYAFIQ COOLING,,01114657515
A/C TECHNICIAN,,0176805130
AJAN AIRCON SERVICING,,0195990858
ALIFF MECHANIC AIR CONDITIONING SERVICE,,0143481326
AIRIN AIRCOND SERVICE,01124092928,01124092928
PAKLONG AIRCOND TECHNICIAN,,0174147319
JIWA ELEKTRIKAL,,0126261431
ZULAMRI,,0172745240
HUSNAHASSIM,,0193202521
AHMAD SAFUAN,,0176127104
DTS AIRCOND SERVICES,0182480779,0182480779
JANJI SELESAI WIRING SERVICES,0135844169,0135844169
MA ELECTRICAL TRADING & SERVICE,,0167498500
MASTERCOOL,,0179454535
SIFUAIRCOND ENGINEERING,,0125375348
WEEKEND AIRCOND SERVICE,,0194416916
MR COOL SOLUTION,,0122667442
ABG JAMAL ELECTRICAL SERVICES,,0197852336
SERVIS AIRCON,0137385249,0137385249
FAIZ ELECTRICAL ENTERPRISE,,0123594631
MENCARIREZEKI.ENT,,0143006016
ANAS ENTERPRISE,0178755770,0178755770
AIRDYNAMIC SOLUTION,,01136231235
VANQUISH PROJECTS SDN BHD,,0125211140
EMIE ELECTRICAL INSTALLATION & MAINTANANCE,,01112573196
NAZRUL ASRI,,01133413899
FATH ELECTRICAL,,0173941162
GENGAIRCOND,,0129757454
SKY COOL AIRCOND SALES AND SERVICES (017-2836542),,0172836542
ECOAIR,,01135834095
MTR AIR COND & ELECTRICAL SERVICES,,01132673908
DIN AIRCOND SALES AND SERVICES,,0176909600
NIF AIR-CONDITIONING AND ELECTRICAL SERVICES,,0193616191
MOON BAKING,,0193903624
GS ELECTRIC ENGINEERING SERVICES,,0122766651
MAZNAM,,0194521969
ARIFF DJ,,0127064316
MR WIREMAN SDN BHD,,0122366243
5D AIRCONDITIONER SERVICES,,0182687605
MHN GOLDEN RESOURCES,,0194920079
MISCO TRADE CONSULTING,,0122893913
H&N ENTERPRISE,,01111348792
COOL SERVICES AND REPAIRING ENTERPRISE,,0194039654
DAN AIR-CONDITION AND REFRIGERATION,,01123736912
AIMAN TRADE AND SERVICING ENTERPRISE,0124825136,0124825136
ILIAS AIRCOND SERVICE,,01124123695
AIR CONDITIONING SILENCER ENGINEERING ENTERPRISE,,0174226740
AMIR AIRCONDITIONING SERVIS SDN.BHD,,0166062567
G COOLING SERVICE,,0149331498
